Site,Latitude,Longitude,FileName
site1b,-29.56593446,-30.678028159894332,d13c_site1b_08_025']
site1b,-29.88117916,-29.676667771079387,d13c_site1b_08_027']
site1b,-29.6856315,-30.003644458637062,d13c_site1b_09_028']
site1b,-31.02254835,-30.41829554553796,d13c_site1b_09_030']
site1b,-28.38729772,-29.03482944062378,d13c_site1b_12_029']
site1b,-28.05521678,-28.525675735458304,d13c_site1b_12_035']
site1b,-29.30034527,-30.25101433787013,d13c_site1b_14_023']
site1b,-26.43279372,-27.76752775436193,d13c_site1b_14_053']
site1b,-29.93243923,-30.190716737939958,d13c_site1b_15_022']
site1b,-27.23498513,-27.080837119910413,d13c_site1b_16_041']
site1b,-28.88089644,-29.013316778478206,d13c_site1b_17_038']
site1b,-29.15211936,-29.349497299026268,d13c_site1b_17_042']
site1b,-29.93827117,-29.13643434065024,d13c_site1b_17_043']
site1b,-29.48879338,-28.055665317252906,d13c_site1b_17_045']
site1b,-27.46592887,-27.68987904482266,d13c_site1b_18_048']
site1b,-27.76116429,-27.293536379619702,d13c_site1b_18_051']
site1b,-30.22859139,-29.91480989789845,d13c_site1b_19_030']
site1b,-28.51255544,-27.519673807855483,d13c_site1b_19_048']
site1b,-28.49836058,-28.797396959907417,d13c_site1b_20_034']
site1b,-27.73515369,-28.05517791092223,d13c_site1b_21_036']
site1b,-29.59523422,-30.642561293873605,d13c_site1b_22_020']
site1b,-28.45023194,-29.701372118336117,d13c_site1b_22_021']
site1b,-29.69225651,-28.872586540437574,d13c_site1b_24_024']
site1b,-27.72962222,-28.034851352690687,d13c_site1b_24_039']
site1b,-27.27301489,-28.73249512202196,d13c_site1b_24_040']
site1b,-28.20104275,-29.198767981546602,d13c_site1b_24_058']
site1b,-27.69392891,-28.263975021826283,d13c_site1b_25_037']
site1b,-28.62943945,-27.52663777480101,d13c_site1b_25_076']
site1b,-27.74226877,-27.558046211583722,d13c_site1b_26_028']
site1b,-28.43181059,-28.598762971395868,d13c_site1b_26_029']
site1b,-27.99791208,-27.41112637213735,d13c_site1b_26_044']
site1b,-27.49048782,-28.269588467119576,d13c_site1b_26_045']
site1b,-28.60308174,-28.62612220122878,d13c_site1b_26_060']
site1b,-28.93480607,-29.424121016263648,d13c_site1b_26_061']
